Membership No  Date Joined  Active  
    49986      2019-11-11   no    
    55598      2019-9-10    no    
    52990      2018-11-7    no    
    97492      2017-6-24    no    
    85880      2016-12-5    no    
    98537      2020-12-13   yes   
    36863      2018-5-8     no    
    40573      2017-9-13    no    
    65538      2020-6-8     yes   
    99003      2020-1-21    no    
    37106      2018-3-24    no    
    98056      2017-8-16    no    
    65239      2015-5-22    yes   
    78072      2017-7-12    no    
    89946      2017-12-11   no    
    89589      2016-3-17    no    
    76011      2018-8-18    no    
    23856      2020-4-4     yes   
    76619      2017-8-10    yes   
    32818      2017-4-17    no    
